x,y,yaw,velocity
-0.3655737,2.8302805,1.1805607,3.3517259
-0.4557472,2.8726157,1.0825005,3.34115
-0.5410598,2.9240155,0.9739578,3.3409415
-0.6206694,2.9842606,0.8745756,3.3407329
-0.694383,3.0515112,0.7904016,3.3916029
-0.7626134,3.1241336,0.7200551,3.4831044
-0.8261948,3.2012797,0.660077,3.5998343
-0.8853964,3.2818933,0.6079137,3.7301811
-0.9405398,3.3652767,0.5614887,3.8663146
-0.9919157,3.4509732,0.5192185,4.0006692
-1.0397519,3.5386703,0.4799169,4.1306401
-1.0842073,3.6281372,0.4426887,4.2566288
-1.1253794,3.7191874,0.4068468,4.3789792
-1.1633144,3.8116592,0.3718513,4.4962556
-1.1980178,3.9054053,0.3372682,4.6052819
-1.2294628,4.0002885,0.3027413,4.7054573
-1.2575972,4.0961793,0.2679723,4.7963053
-1.2823475,4.1929504,0.23271,4.8774508
-1.3036399,4.2905594,0.1967087,4.9487109
-1.3213644,4.3888964,0.159786,5.0099934
-1.335395,4.4878232,0.1218068,5.0612659
-1.345601,4.5871987,0.0826763,5.10266
-1.3518509,4.686876,0.0423888,5.134511
-1.3540526,4.7867017,0.0017331,5.1588998
-1.3522969,4.8865248,-0.0361644,5.1838498
-1.3469989,4.9862973,-0.0689847,5.2297535
-1.3386976,5.0858773,-0.0966203,5.3015692
-1.3280565,5.1852366,-0.1126409,5.3918152
-1.3170163,5.2845579,-0.1071042,5.4887952
-1.3068715,5.3839699,-0.0954179,5.5840794
-1.2981548,5.4835115,-0.0783587,5.5468804
-1.2914151,5.5832018,-0.0557602,5.4651862
-1.2871799,5.6830287,-0.0284751,5.3965285
-1.285774,5.78294,0.00047,5.32718
-1.2872858,5.8828545,0.0298467,5.2570593
-1.2917515,5.9826768,0.0596572,5.1836102
-1.2992182,6.0822874,0.0901054,5.1074242
-1.3097444,6.1815208,0.121427,5.0298479
-1.3234008,6.2801814,0.1538813,4.9528615
-1.3404591,6.3790609,0.1880574,4.877214
-1.3608557,6.4767991,0.2236727,4.8027326
-1.3848041,6.5737785,0.2606814,4.7272054
-1.4122426,6.6693717,0.2994241,4.6709198
-1.4439893,6.7640131,0.3492433,4.654128
-1.480585,6.8567502,0.4031102,4.6538375
-1.5222314,6.9473776,0.4583037,4.6535469
-1.5689484,7.0359774,0.511586,4.65633
-1.6197944,7.1215003,0.5604361,4.6746776
-1.6748327,7.2049508,0.6048917,4.7122348
-1.7335103,7.2862246,0.6450506,4.7673989
-1.7948443,7.3647069,0.6810708,4.8368768
-1.8589507,7.4411725,0.7138281,4.9174924
-1.925476,7.5156552,0.7437971,5.0062447
-1.9941388,7.5882192,0.7714052,5.1007341
-2.0647153,7.6589417,0.7970204,5.1990895
-2.1370261,7.7279015,0.8209522,5.2996216
-2.2109246,7.7951721,0.8434585,5.3982695
-2.2862878,7.8608185,0.864753,5.4951349
-2.3630099,7.9248961,0.8850132,5.5903103
-2.4409973,7.987451,0.9043867,5.6838806
-2.5201337,8.0484959,0.9229895,5.7759239
-2.6002633,8.1080059,0.9409099,5.866512
-2.6814666,8.1661201,0.9582707,5.9557114
-2.7636832,8.2228576,0.9751458,6.0435834
-2.8468551,8.2782322,0.9915983,6.1301853
-2.9309266,8.3322533,1.0076823,6.2155701
-3.0158445,8.3849274,1.0234443,6.2997873
-3.101543,8.43625,1.0389227,6.3828831
-3.1880203,8.486251,1.0541633,6.4649007
-3.2752608,8.5349464,1.0692029,6.5458808
-3.363221,8.5823329,1.0840691,6.6258612
-3.45186,8.628407,1.0987873,6.7048779
-3.5411398,8.6731648,1.1133813,6.7829644
-3.6310709,8.716624,1.1278807,6.8601455
-3.7216769,8.7588037,1.1423169,6.9348162
-3.8128741,8.7996703,1.1567019,7.0069984
-3.9046334,8.8392157,1.171056,7.0766732
-3.9969292,8.8774318,1.1854007,7.1438102
-4.0897393,8.91431,1.1997537,7.208381
-4.1830448,8.9498434,1.2140922,7.2704658
-4.2768258,8.9840347,1.2282314,7.3306524
